config = (n = 2, d = (:one_d_for_all, 40), GN = 200, time_interval = [0.0, 1.0], p_true = [[1.0, 1.0]], ic = [100.0, 100.0], num_points = 100, sample_range = 0.2, distance = Main.DynamicalSystems.log_L2_norm, model_func = Main.DynamicalSystems.define_lotka_volterra_2D_model_v3, basis = :chebyshev, precision = RationalPrecision, my_eps = 0.02, fine_step = 0.002, coarse_step = 0.02, plot_range = StepRangeLen{Float64, Base.TwicePrecision{Float64}, Base.TwicePrecision{Float64}, Int64}[-0.22:0.002:0.22, -0.22:0.002:0.22], plot_range_coarse = StepRangeLen{Float64, Base.TwicePrecision{Float64}, Base.TwicePrecision{Float64}, Int64}[-0.22:0.02:0.22, -0.22:0.02:0.22], p_center = [1.05, 0.95])


Condition number of the Vandermonde system: 4.00000000000004
L2 norm (error of approximation): 0.5351622741250043
Polynomial system:
   Number of sols: 1521
   Bezout bound: [39, 39] which is 1521
Critical points found:
451×3 DataFrame
 Row │ x1        x2        z
     │ Float64   Float64   Float64
─────┼────────────────────────────────
 388 │ 0.914658  0.939283   1.27074
 389 │ 0.930661  0.939075   1.27923
 390 │ 0.947397  0.939143   1.28094
 391 │ 0.855021  0.803283   3.13392
 392 │ 0.980371  0.940341   1.25751
 393 │ 1.24982   0.943811   1.22479
 394 │ 1.14035   0.94187    1.25174
 395 │ 1.09864   0.940213   1.28493
 396 │ 1.07294   0.939673   1.29316
 397 │ 1.04663   0.940137   1.27624
 398 │ 1.05061   0.940052   1.27919
 399 │ 1.08409   0.939705   1.29461
 400 │ 1.1152    0.941027   1.26792
 401 │ 1.24997   0.974533   0.109102
 402 │ 1.24806   0.787212   3.29286
 403 │ 0.850796  1.1493     2.37575
 404 │ 0.853308  0.905536   1.94439
 405 │ 0.926361  0.97171    0.118669
 406 │ 0.938382  0.9714     0.140235
 407 │ 0.952055  0.971864   0.121628
 408 │ 0.854806  0.825654   2.93125
 409 │ 1.01712   0.970168   0.235495
 410 │ 1.24759   0.80685    3.13015
 411 │ 0.865114  1.11981    2.08934
 412 │ 0.939517  1.02611    0.0024998
 413 │ 0.924964  1.0255    -0.0237813
 414 │ 0.951335  1.02585   -0.0166202
 415 │ 1.24715   0.829824   2.92139
 416 │ 0.851991  1.12313    2.12629
 417 │ 1.01981   1.05609    1.04339
 418 │ 0.978635  1.05472    1.01761
 419 │ 0.916131  1.05464    1.02859
 420 │ 0.902138  1.05367    1.00697
 421 │ 0.928361  1.05499    1.03475
 422 │ 0.966908  1.05515    1.03103
 423 │ 0.850418  0.878631   2.34089
 424 │ 1.04986   1.08064    1.53886
 425 │ 0.852027  1.10437    1.90931
 426 │ 0.915425  1.08083    1.5607
 427 │ 0.895327  1.07989    1.54767
 428 │ 0.882849  1.07877    1.53054
 429 │ 0.903481  1.08029    1.55332
 430 │ 0.934831  1.0815     1.56916
 431 │ 0.995102  1.08105    1.55339
 432 │ 1.00823   1.08012    1.53588
 433 │ 1.00357   1.10362    1.88362
 434 │ 0.894822  1.10277    1.88424
 435 │ 0.878188  1.10171    1.87238
 436 │ 0.867581  1.10061    1.85909
 437 │ 0.883387  1.10204    1.87606
 438 │ 1.02575   1.10264    1.86844
 439 │ 1.03917   1.10197    1.85824
 440 │ 1.03608   1.12115    2.08841
 441 │ 0.877977  1.12069    2.09778
 442 │ 0.856853  1.11883    2.07935
 443 │ 0.86727   1.11996    2.09078
 444 │ 0.885987  1.12134    2.10404
 445 │ 1.02799   1.12138    2.0917
 446 │ 1.05633   1.12066    2.08125
 447 │ 1.07058   1.12015    2.07426
 448 │ 0.851803  1.08202    1.58905
 449 │ 0.865149  1.13448    2.23982
 450 │ 0.868193  1.13468    2.24152
 451 │ 1.10139   1.1343     2.21899
Number of critical points: 451
────────────────────────────────────────────────────────────────────────────────────────────
                                                   Time                    Allocations      
                                          ───────────────────────   ────────────────────────
            Tot / % measured:                  36.7s /  99.5%           3.16GiB /  98.8%    

Section                           ncalls     time    %tot     avg     alloc    %tot      avg
────────────────────────────────────────────────────────────────────────────────────────────
solve_polynomial_system                1    27.3s   74.8%   27.3s    387MiB   12.1%   387MiB
Constructor                            1    9.18s   25.2%   9.18s   2.74GiB   87.9%  2.74GiB
  MainGenerate                         1    9.18s   25.2%   9.18s   2.74GiB   87.9%  2.74GiB
    evaluation                         1    6.65s   18.2%   6.65s   2.44GiB   78.1%  2.44GiB
    lambda_vandermonde_original        1    1.29s    3.5%   1.29s    266MiB    8.3%   266MiB
    norm_computation                   1    878ms    2.4%   878ms   8.40MiB    0.3%  8.40MiB
    generate_grid                      1   73.0ms    0.2%  73.0ms   20.4MiB    0.6%  20.4MiB
    linear_solve_vandermonde           1   27.8ms    0.1%  27.8ms   5.73MiB    0.2%  5.73MiB
test_input                             1    789ns    0.0%   789ns      240B    0.0%     240B
────────────────────────────────────────────────────────────────────────────────────────────
